playerID,teams
aurilri01,"['SFN', 'SEA', 'SDN', 'CIN']"
ausanjo01,['NYA']
ausmubr01,"['SDN', 'DET', 'HOU', 'LAN']"
austde01,['SLN']
austihe01,['ELI']
austije01,"['KCA', 'CIN']"
austiji01,"['NYA', 'SLA']"
austiji02,['ML4']
austiri01,"['CLE', 'ML4']"
austity01,"['NYA', 'MIN', 'SFN', 'MIL']"
autryal01,['ATL']
autrych01,"['CIN', 'BSN']"
autrych02,"['NYA', 'CLE', 'CHA']"
aveliab01,['SFN']
avenbr01,"['CLE', 'FLO', 'PIT', 'LAN']"
averiea01,"['CLE', 'DET', 'BSN']"
averiea02,"['CLE', 'CHN', 'CHA', 'LAA', 'PHI']"
averyst01,"['ATL', 'BOS', 'CIN', 'DET']"
averyxa01,['BAL']
avilaal01,"['DET', 'CHA', 'CHN', 'ARI', 'MIN', 'WAS']"
avilabo01,"['CLE', 'BAL', 'BOS', 'ML1']"
avilalu01,"['ATL', 'LAN', 'CHA', 'PHI', 'NYN', 'NYA', 'WAS']"
avilape01,['SDN']
avilemi01,"['KCA', 'BOS', 'CLE', 'DET', 'MIA']"
avilera01,"['BOS', 'PHI']"
avreaja01,['CIN']
axelrdy01,"['CHA', 'CIN']"
axforjo01,"['MIL', 'SLN', 'CLE', 'PIT', 'COL', 'OAK', 'TOR', 'LAN']"
ayalabe01,"['NYN', 'SLN', 'BAL', 'CLE']"
ayalabo01,"['CIN', 'SEA', 'MON', 'CHN']"
ayalalu01,"['MON', 'WAS', 'NYN', 'MIN', 'FLO', 'NYA', 'BAL', 'ATL']"
aybarer01,"['LAA', 'ATL', 'DET', 'SDN']"
aybarma01,"['SLN', 'COL', 'CIN', 'FLO', 'CHN', 'SFN', 'NYN']"
aybarwi01,"['LAN', 'ATL', 'TBA']"
aydelja01,"['IN2', 'PH4']"
ayersbi01,['NY1']
ayersdo01,"['WS1', 'DET']"
aylwadi01,['CLE']
ayraubo01,"['PHI', 'SEA']"
ayraujo01,['ATL']
azcuejo01,"['CIN', 'KC1', 'CLE', 'BOS', 'CAL', 'ML4']"
azocajo01,['SDN']
azocaos01,"['NYA', 'SDN']"
babbch01,"['NY1', 'BRO']"
babcobo01,['TEX']
babelo01,"['NYA', 'PHA']"
babicjo01,"['BRO', 'BSN', 'PHA']"
babinch01,['NY1']
babitsh01,['OAK']
backebr01,"['TBA', 'HOU']"
backmle01,['SLN']
backmwa01,"['NYN', 'MIN', 'PIT', 'PHI', 'SEA']"
